id,text,autor
562,Believe those who are seeking the truth; doubt those who find it.,Andre Gide.
563,That's not a lie it's a terminological inexactitude.,Alexander Haig.
564,If one acknowledges a group or a nation willing to commit atrocities then one must also acknowledges the existence of a nation willing to commit atrocities to blame on the first nation.,Michael Rivero.
565,He who fights with monsters might take care lest he thereby become a monster. For if you gaze for long into an abyss the abyss gazes also into you.,Nietzsche.
566,It is better to be feared than loved if you cannot be both.,Niccolo Machiavelli.
567,Whenever I hear anyone arguing for slavery I feel a strong impulse to see it tried on him personally.,Abraham Lincoln.
568,I prayed for twenty years but received no answer until I prayed with my legs.,Frederick Douglass
569,So far as I can remember there is not one word in the Gospels in praise of intelligence.,Bertrand Russel.
570,When encountering a new philosophy or religion do not convert but rather assimilate.,Shawn Mikula.
571,You need only reflect that one of the best ways to get yourself a reputation as a dangerous citizen these days is to go about repeating the very phrases which our founding fathers used in the great struggle for independence.,Attributed to Charles Austin Beard.
572,At the risk of seeming ridiculous let me say that the true revolutionary is guided by great feelings of love. It is impossible to think of a genuine revolutionary lacking this quality.,Ernesto 'Che' Guevara.
573,The only thing necessary for the triumph of evil is for good men to do nothing.,Edmund Burke.
574,The citizen who sees his society's democratic clothes being worn out and does not cry it out is not a patriot but a traitor.,Mark Twain.
575,The Christian resolution to find the world ugly and bad has made the world ugly and bad.,Nietzsche.
576,The multitude of books is a great evil. There is no limit to this fever for writing.,Martin Luther.
577,If the doctor told me I had only six minutes to live I'd type a little faster.,Isaac Asimov.
578,The modern conservative is engaged in one man's oldest exercises in moral philosophy; that is the search for a superior moral justification for selfishness.,John K. Galbraith.
579,Conservatives are not necessarily stupid but most stupid people are conservatives.,John Stuart Mill.
580,I have examined all of the known superstitions of the world and I do not find in our superstitions of Christianity one redeeming feature. They are all founded on fables and mythology. Christianity has made one-half the world fools and the other half hypocrites.,Thomas Jefferson.
581,It may be that our role on this planet is not to worship God  but to create him.,Arthur C. Clarke.
582,In order to learn one must change one's mind.,Orson Scott Card.
583,Every anarchist is a baffled dictator.,Benito Mussolini.
584,Everyone's values are defined by what they will tolerate when it is done to others.,William Greider.
585,Patriotism is the virtue of the vicious.,Oscar Wilde.
586,Do not do an immoral thing for moral reasons.,Thomas Hardy.
587,If fifty million people believe a foolish thing it is still a foolish thing.,Anatole France.
588,There must be more to life than having everything.,Maurice Sendak.
589,Knowledge comes but wisdom lingers.,Alfred
590,He who knows nothing is closer to the truth than he whose mind is filled with falsehoods and errors.,Thomas Jefferson.
591,I had a lover's quarrel with the world.,Robert Frost.
592,Written laws are like spider's webs; they will catch it is true the weak and poor but would be torn in pieces by the rich and powerful.,Anacharsis.
593,Computers are useless. They can only give you answers.,Pablo Picasso.
594,You simply cannot hang a millionaire in America.,Bourke Cockran.
595,We must be willing to let go of the life we have planned so as to have the life that is waiting for us.,Joseph Campbell.
596,When the president does it that means it is not illegal.,Richard Nixon.
597,War is hell and all that but it has a good deal to recommend it. It wipes out all the small nuisances of peacetime.,Ian Hay.
598,Patriotism is the willingness to kill and be killed for trivial reasons.,Bertrand Russell.
599,All propaganda must be so popular and on such an intellectual level that even the most stupid of those toward whom it is directed will understand it ... Through clever and constant application of propaganda people can be made to see paradise as hell and also the other way around to consider the most wretched sort of life as paradise.,Adolf Hitler.
600,If there was a god he wouldn't let a guy walk right up and shoot you in the face now would he? That's right now you get the picture. Truth burns doesn't it?,Henry Rollins.
601,This country with its institutions belongs to the people who inhabit it. Whenever they shall grow weary of the existing government they can exercise their constitutional right of amending it or exercise their revolutionary right to overthrow it.,Abraham Lincoln.
602,If you believe in the existence of fairies at the bottom of the garden you are deemed fit for the bin. If you believe in parthenogenesis ascension transubstantiation and all the rest of it you are deemed fit to govern the country.,Jonathan Meades.
603,Gentlemen you can't fight in here! This is the War Room!,Dr. Strangelove.
604,I know of no crime that has not been defended by the church  in one form or other. The church is not a pioneer; it accepts a new truth last of all and only when denial has become useless.,Robert G. Ingersoll.
605,In general the art of government consists in taking as much money as possible from one class of citizens to give to the other.,Voltaire.
606,A nation is a society united by a delusion about its ancestry and by common hatred of its neighbors.,William R. Inge.
607,Cast aside those who liken godliness to whimsy and who try to combine their greed for wealth with their desire for a happy afterlife.,Kahlil Gibran.
608,If we do not like the world the way it is then it is because we are not okay the way we are.,deeshan.
609,Your every decision conspires to make this moment happen.,Christi Philpott.
610,It is your business when the wall next door catches fire.,Horace.
611,Once you have seen certain things you can't un-see them and seeing nothing is as political an act as seeing something.,Arundhati Roy.
612,Translate 'Allah'.,Bumper Sticker.
613,Science is always discovering odd scraps of magical wisdom and making a tremendous fuss about its cleverness.,Aleister Crowley.
614,They said I was the greatest pitcher they ever saw; I couldn't understand why they couldn't give me no justice.,Satchel Paige.
615,A conservative government is an organized hypocrisy.,Benjamin Disraeli.
616,In a time of universal deceit telling the truth is a revolutionary act.,George Orwell.
617,Think my friends! You adulate a stone as Vishnu but you cannot see God in a fellow man.,Sankaracharya.
618,The total absence of humor in the Bible is one of the most singular things in all literature.,Alfred North Whitehead.
619,All I know is that I am not a Marxist.,Karl Marx.
620,Before you speak ask yourself is it kind is it necessary is it true does it improve on the silence?,Shirdi Sai Bab.
621,Everything of importance has been said before by somebody who did not discover it.,Alfred North Whitehead.
622,I object to violence because when it appears to do good the good is only temporary; the evil it does is permanent.,Mohandas Gandhi.
623,Truth is for the minority.,Baltasar Graci�n.
624,The color of the skin makes no difference. What is good and just for one is good and just for the other. And the Great Spirit made all men brothers.,White Shield
625,The reasonable man adjusts himself to the world the unreasonable one persists in trying to adapt the world to himself; therefore all progress depends on the unreasonable man.,George Bernard Shaw.
626,I did not know how to say goodbye. It was harder still when I refused to say it.,Native American saying.
248,Some humans would do anything to see if it was possible to do it. If you put a large switch in some cave somewhere with a sign on it saying 'End-of-the-World Switch. PLEASE DO NOT TOUCH' the paint wouldn't even have time to dry.,Terry Pratchett (Thief of Time).
249,Give a man a fire and he's warm for the day but set fire to him and he's warm for the rest of his life.,Terry Pratchett (Jingo).
250,It is said that your life flashes before your eyes just before you die. That is true it's called Life.,Terry Pratchett (The Last Continent).
251,If cats looked like frogs we'd realize what nasty cruel little bastards they are. Style. That's what people remember.,Terry Pratchett (Lords and Ladies).
252,Stories of imagination tend to upset those without one.,Terry Pratchett.
253,In ancient times cats were worshipped as gods; they have not forgotten this.,Terry Pratchett.
254,It's not worth doing something unless someone somewhere would much rather you weren't doing it.,Terry Pratchett.
255,Time is a drug. Too much of it kills you.,Terry Pratchett (Small Gods).
256,I'll be more enthusiastic about encouraging thinking outside the box when there's evidence of any thinking going on inside it.,Terry Pratchett.
257,In the beginning there was nothing which exploded.,Terry Pratchett (Lords and Ladies).
258,Wisdom comes from experience. Experience is often a result of lack of wisdom.,Terry Pratchett.
259,No! Please! I'll tell you whatever you want to know!,Terry Pratchett (Night Watch).
260,Real stupidity beats artificial intelligence every time.,Terry Pratchett (Hogfather).
261,Five exclamation marks the sure sign of an insane mind.,Terry Pratchett (Reaper Man).
262,If you have enough book space I don't want to talk to you.,Terry Pratchett.
263,Coming back to where you started is not the same as never leaving.,Terry Pratchett (A Hat Full of Sky).
264,A good bookshop is just a genteel Black Hole that knows how to read.,Terry Pratchett (Guards! Guards!).
265,Just erotic. Nothing kinky. It's the difference between using a feather and using a chicken.,Terry Pratchett (Eric).
266,I meant ,Terry Pratchett (Sourcery).
267,It would seem that you have no useful skill or talent whatsoever ' he said. 'Have you thought of going into teaching?,Terry Pratchett (Mort).
268,I'd rather be a climbing ape than a falling angel.,Terry Pratchett.
269,DON'T THINK OF IT AS DYING said Death. JUST THINK OF IT AS LEAVING EARLY TO AVOID THE RUSH.,Terry Pratchett (Good Omens).
270,There is a rumour going around that I have found God. I think this is unlikely because I have enough difficulty finding my keys and there is empirical evidence that they exist.,Terry Pratchett.
271,The whole of life is just like watching a film. Only it's as though you always get in ten minutes after the big picture has started and no-one will tell you the plot so you have to work it out all yourself from the clues.,Terry Pratchett (Moving Pictures).
272,And what would humans be without love?,Terry Pratchett (Sourcery).
273,He'd been wrong there was a light at the end of the tunnel  and it was a flamethrower.,Terry Pratchett (Mort).
274,His philosophy was a mixture of three famous schools,the Cynics
275,If complete and utter chaos was lightning then he'd be the sort to stand on a hilltop in a thunderstorm wearing wet copper armour and shouting 'All gods are bastards!',Terry Pratchett (The Color of Magic).
276,She was already learning that if you ignore the rules people will  half the time quietly rewrite them so that they don't apply to you.,Terry Pratchett (Equal Rites).
277,This isn't life in the fast lane it's life in the oncoming traffic.,Terry Pratchett.
278,Fantasy is an exercise bicycle for the mind. It might not take you anywhere but it tones up the muscles that can. Of course I could be wrong.,Terry Pratchett.
279,Always be wary of any helpful item that weighs less than its operating manual.,Terry Pratchett (Jingo).
280,Over the centuries mankind has tried many ways of combating the forces of evil... prayer fasting good works and so on. Up until Doom no one seemed to have thought about the double-barrel shotgun. Eat leaden death demon...,Terry Pratchett.
281,Many people meeting Aziraphale for the first time formed three impressions: that he was English that he was intelligent and that he was gayer than a treeful of monkeys on nitrous oxide.,Terry Pratchett (Good Omens).
282,The presence of those seeking the truth is infinitely to be preferred to the presence of those who think they've found it.,Terry Pratchett (Monstrous Regiment).
283,Chaos is found in greatest abundance wherever order is being sought. It always defeats order because it is better organized.,Terry Pratchett (Interesting Times).
284,The three rules of the Librarians of Time and Space are: 1) Silence; 2) Books must be returned by no later than the date shown; and 3) Do not interfere with the nature of causality.,Terry Pratchett (Guards! Guards!).
285,Studies have shown that an ant can carry one hundred times its own weight but there is no known limit to the lifting power of the average tiny eighty-year-old Spanish peasant grandmother.,Terry Pratchett (Reaper Man).
286,We who think we are about to die will laugh at anything.,Terry Pratchett (Night Watch).
287,There are it has been said two types of people in the world. There are those who when presented with a glass that is exactly half full say: this glass is half full. And then there are those who say: this glass is half empty. The world belongs however to those who can look at the glass and say: What's up with this glass? Excuse me? Excuse me? This is my glass? I don't think so. My glass was full! And it was a bigger glass! Who's been pinching my beer? And at the other end of the bar the world is full of the other type of person who has a broken glass or a glass that has been carelessly knocked over (usually by one of the people calling for a larger glass) or who had no glass at all because he was at the back of the crowd and had failed to catch the barman's eye. ,Terry Pratchett (The Truth).
288,Elves are wonderful. They provoke wonder.  Elves are marvellous. They cause marvels.  Elves are fantastic. They create fantasies.  Elves are glamorous. They project glamour.  Elves are enchanting. They weave enchantment.  Elves are terrific. They beget terror.  The thing about words is that meanings can twist just like a  snake and if you want to find snakes look for them behind words  that have changed their meaning. No one ever said elves are  nice. Elves are bad.,Terry Pratchett (Lords and Ladies).
289,Albert grunted. 'Do you know what happens to lads who ask too many questions?' Mort thought for a moment. 'No ' he said eventually 'what?' There was silence. Then Albert straightened up and said 'Damned if I know. Probably they get answers and serve 'em right.',Terry Pratchett (Mort).
290,It's still magic even if you know how it's done.,Terry Pratchett (A Hat Full of Sky).
291,If there was anything that depressed him more than his own cynicism it was that quite often it still wasn't as cynical as real life.,Terry Pratchett (Guards! Guards!).
292,Insanity is catching.,Terry Pratchett (Making Money).
293,Gods prefer simple vicious games where you Do Not Achieve Transcendence but Go Straight To Oblivion; a key to the understanding of all religion is that a god's idea of amusement is Snakes and Ladders with greased rungs.,Terry Pratchett (Wyrd Sisters).
294,Getting an education was a bit like a communicable sexual disease. It made you unsuitable for a lot of jobs and then you had the urge to pass it on.,Terry Pratchett (Hogfather).
297,Everything starts somewhere though many physicists disagree. But people have always been dimly aware of the problem with the start of things. They wonder how the snowplough driver gets to work or how the makers of dictionaries look up the spelling of words.,Terry Pratchett (Hogfather).
298,For animals the entire universe has been neatly divided into things to (a) mate with (b) eat (c) run away from and (d) rocks.,Terry Pratchett (Equal Rites).
299,My experience in Amsterdam is that cyclists ride where the hell they like and aim in a state of rage at all pedestrians while ringing their bell loudly the concept of avoiding people being foreign to them.  My dream holiday would be a) a ticket to Amsterdam b) immunity from prosecution and c) a baseball bat.,Terry Pratchett.
300,There's a door.,Terry Pratchett (Eric).
301,You don't elect politicians to commit crimes; you elect politicians to make your crimes legal.,Matt Taibbi.
302,Is your argument that the Creator of the Universe was working under a deadline and His manager forced Him to rush inefficient designs into production?,John B. Breckenridge in bpot.
303,The role of the president of the United States is to support the decisions that are made by the people of Israel. It is not up to us to pick and choose from among the political parties.,Former White House official Ann Lewis
304,If you have a procedure with 10 parameters you probably missed some.,Alan Perlis.
305,Real Programmers never work from 9 to 5. If any real programmer is around at 9 a.m. it's because they were up all night.,Some Computer Geek.
306,Usenet is like a herd of performing elephants with diarrhea ,massive
307,Hardware : The parts of a computer system that can be kicked.,Jeff Pesis.
308,I have a spelling checker  It came with my PC; It plainly marks four my revue Mistakes I cannot sea. I've run this poem threw it  I'm sure your pleased too no  Its letter perfect in it's weigh  My checker tolled me sew.,Janet Minor
309,'Uncle Cosmo why do they call this a word processor?' 'It's simple Skyler. You've seen what food processors do to  food right?,MacNelley
310,Crossposting isn't inherently evil in the same sense that necrophilia doesn't really hurt anybody. One wonders only whether it's appropriate to the occasion.,Rick Gordon.
311,My suggestion for an Official Usenet Motto: ,Hevard Fosseng [quotation collector].
312,The best way to accelerate a Macintosh is at 9.8 m/sec/sec.,Marcus Dolengo.
313,But let your communication be Yea yea; nay nay: for whatsoever is more than these cometh of evil.,(Matthew 5:37).
314,A distributed system is one in which the failure of a computer you didn't even know existed can render your own computer unusable.,Leslie Lamport.
315,Always code as if the guy who ends up maintaining your code will be a violent psychopath who knows where you live.,John F. Woods.
316,To err is human - and to blame it on a computer is even more so.,Robert Orben.
317,A computer once beat me at chess but it was no match for me at kick boxing.,Emo Philips.
318,The most overlooked advantage of owning a computer is that if they foul up there's no law against whacking them around a bit.,Eric Porterfield.
319,A computer is like an Old Testament god with a lot of rules and no mercy,Joseph Campbell.
320,Technology: No Place for Wimps!,Scott Adams.
321,I would much prefer a government run bureaucracy than a for profit bureaucracy. In the first I am at least a stakeholder. In the latter I'm simply a cost.,digby in her blog..
322,Horatio stops by to say really obvious things slowly.,"From IMDb Synopsis for ""CSI: Miami - Won't Get Fueled Again""."
323,'Abstinence-only sex education' is a little like saying 'Just-hold-it potty training'.,Roy Zimmerman.
324,I hate you I despise you I loathe you. Everything about you DISGUSTS me. Your ears eyes nose mouth tongue legs knees  stomach ribs and bottom make me want to vomit up. You're repulsive loathsome grotesque and insupportable. I want to kill you I want to twist your nipples off and throw them to the dogs. You low corrosive lump of faecal horror; you maniac bastardly turd; I would rather drink stale urine from Norman Fowler's arse-pit than remain one moment longer in your defiling company; you're filth you're cack you're the ooze of a burst boil; I abominate you you towering mound of corrupted slime; your every utterance is like the slithering hiss of a fat maggot in the guts of a decomposing rat; your face is fowler than the unwiped ring of Satan's rectum.,Stephen Fry
325,If economists were held in the same regard as medical practitioners our courts would be overwhelmed with malpractice suits,unknown.
326,If all the economists in the world were laid end-to-end they would still not reach a conclusion.,unknown
327,I suppose that it takes a $1000/hour lawyer to write contracts that a $250/hour lawyer cannot find holes in. ,John Herbster in b.p.d.non-technical.
328,The defense policy of the United States is based on a simple premise: The United States does not start fights. We will never be an aggressor.,Ronald Reagan.
329,War is wretched beyond description and only a fool or a fraud could sentimentalize its cruel reality.,Senator John McCain.
330,Criticism in a time of war is essential to the maintenance of any kind of democratic government.,Sen. Robert Taft
331,We first fought... in the name of religion then Communism and now in the name of drugs and terrorism. Our excuses for global domination always change.,Serj Tankian.
332,Democracy is not an incident that happens overnight nor a gift that America can give to the world. It is a culture which needs peace to evolve.,Shirin Ebadi
333,A belligerent state permits itself every such misdeed every such act of violence as would disgrace the individual.,Sigmund Freud.
334,Civilization began the first time an angry person cast a word instead of a rock.,Sigmund Freud.
335,If you live long enough you'll see that every victory turns into a defeat.,Simone de Beauvoir.
336,The great error of nearly all studies of war... has been to consider war as an episode in foreign policies when it is an act of interior politics...,Simone Weil.
337,Terrorism is the war of the poor and war is the terrorism of the rich.,Sir Peter Ustinov.
338,In modern war there is no such thing as victor and vanquished... There is only a loser and the loser is mankind.,U Thant
339,If you kill one person you are a murderer. If you kill ten people you are a monster. If you kill ten thousand you are a national hero.,Vassilis Epaminondou.
340,All murderers are punished unless they kill in large numbers and to the sound of trumpets.,Voltaire.
341,So long as the deceit ran along quiet and monotonous all of us let ourselves be deceived abetting it unawares or maybe through cowardice...,William Faulkner.
342,The cry has been that when war is declared all opposition should be hushed. A sentiment more unworthy of a free country could hardly be propagated.,William Ellery Channing.
343,Necessity is the plea for every infringement of human freedom. It is the argument of tyrants; it is the creed of slaves.,William Pitt.
344,You can no more win a war than you can win an earthquake.,Jeanette Rankin.
345,So apparently Delphi now has both aristocrats [Counts Cardinals] and dogs [Pointers Setters] ... <g>,Andrew Fiddian-Green in borland.public.delphi.nativeapi.win32.
346,Conservative politics is about simple solutions to complex problems which usually involve pinning all the blame on someone else. It doesn't matter whether they make any sense - they can be explained in several words and sound best when yelled.,Michael Warner in borland.public.off-topic.
347,I contend that we are both atheists. I just believe in one fewer god than you do. When you understand why you dismiss all the other possible gods you will understand why I dismiss yours.,Stephen Roberts.
348,Any intelligent fool can make things bigger more complex and more violent. It takes a touch of genius and a lot of courage to move in the opposite direction.,Albert Einstein.
349,Man is certainly stark mad: he cannot make a worm yet he will make gods by the dozen.,Michel de Montaigne.
350,Civil disobedience that's not our problem. Our problem is that people are obedient all over the world in the face of poverty and starvation and stupidity and war and cruelty. Our problem is that people are obedient while the jails are full of petty thieves and all the while the grand thieves are running the country. That's our problem.,Howard Zinn.
351,Men will never be free until the last king is strangled with the entrails of the last priest.,Denis Diderot.
352,We on our side are praying to Him to give us victory  because we believe we are right; but those on the other side pray to Him too for victory believing they are right. What must He think of us?,Abraham Lincoln.
353,Invisible Pink Unicorns are beings of awesome mystical power. We know this because they manage to be invisible and pink at the same time. Like all religions the Faith of the Invisible Pink Unicorns is based upon both logic and faith. We have faith that they are pink; we logically know that they are invisible because we can't see them.,Steve Eley.
354,All great truths begin as blasphemies.,George Bernard Shaw.
355,The injury we do and the one we suffer are not weighed in the same scale.,Aesop.
356,Take only memories; leave nothing but footprints.,Chief Seattle.
357,They made a wasteland and called it peace.,Tacitus.
358,The law in its majestic equality forbids the rich as well as the poor to sleep under the bridges to beg in the streets  and to steal bread.,Anatole France.
359,The philosopher has never killed any priests whereas the priest has killed a great many philosophers.,Denis Diderot.
360,A terrorist is someone who has a bomb but can't afford an air force.,William Blum.
361,What you do speaks so loud that I cannot hear what you say.,Ralph Waldo Emerson.
362,A time will come when a politician who has willfully made war and promoted international dissension will be ... surer of the noose than a private homicide.,H. G. Wells.
363,A man's ethical behavior should be based effectually on sympathy education and social ties and needs; no religious basis is necessary. Man would indeed be in a poor way if he had to be restrained by fear of punishment and hope of reward after death.,Albert Einstein.
364,Disobedience in the eyes of anyone who has read history is man's original virtue. It is through disobedience that progress has been made through disobedience and through rebellion.,Oscar Wilde.
365,When you philosophically oppose an entire power elite you cannot help but sound like a conspiracy theorist. Social power is by nature a conspiracy.,Tom N.
366,Because I do it with one small ship I am called a terrorist (pirate?). You do it with a whole fleet and are called an emperor.,St. Augustine.
367,Insanity in individuals is something rare; but in groups  parties nations and epochs it is the rule.,Nietzsche.
368,If you talk to God you are praying. If God talks to you you have schizophrenia.,Thomas Szasz.
369,Every war when it comes or before it comes is represented not as a war but as an act of self-defense against a homicidal maniac.,George Orwell.
370,It was of course a lie what you read about my religious convictions a lie which is being systematically repeated. I do not believe in a personal god and I have never denied this but have expressed it clearly. If something is in me which can be called religious then it is the unbounded admiration for the structure of the world so far as our science can reveal it.,Albert Einstein.
371,You know your god is man-made when he hates all the same people you do.,[Usenet].
372,Disobedience is the true foundation of liberty. The obedient must be slaves.,Henry David Thoreau.
373,One man's magic is another man's engineering. Supernatural is a null word.,Robert Heinlein.
374,We must question the story logic of having an all-knowing all-powerful God who creates faulty humans and then blames them for his own mistakes.,Gene Roddenberry.
375,The trouble with the world is that the stupid are cocksure and the intelligent are full of doubt.,Bertrand Russell.
376,As with the Christian religion the worst advertisement for Socialism is its adherents.,George Orwell.
377,A conservative is a man who is too cowardly to fight and too fat to run.,Elbert Hubbard.
378,Religion is what keeps the poor from murdering the rich.,Napoleon.
379,Never be deceived that the rich will allow you to vote away their wealth.,Lucy Parsons.
380,If child molestation is actually your concern how come we don't see Bradley tanks knocking down Catholic churches?,Bill Hicks
381,Do you see now that your self-righteousness was nothing more than breeding and years of privilege? You know we are one nation under a god. Yes you were right. An angry crack slinging god who decorates with bullets and spent condoms a blind god whose eyes are just like yours.,Solipsist by Henry Rollins.
382,Religion comprises a system of wishful illusions together with a disavowal of reality such as we find in an isolated form nowhere else but in amentia in a state of blissful hallucinatory confusion.,Sigmund Freud.
383,The ink of the scholar is holier than the blood of the martyr.,Prophet Muhammad.
384,Which is it is man one of God's blunders or is God one of man's?,Nietzsche.
385,The compulsion to do good is an innate American trait. Only North Americans seem to believe that they always should may  and actually can choose somebody with whom to share their blessings. Ultimately this attitude leads to bombing people into the acceptance of gifts.,Ivan Illich.
386,... The biggest detractors of communism and socialism always seem to want to embrace the worst excesses of both.,<Skullhunter>.
387,Kill a man and you are an assassin. Kill millions of men and you are a conqueror. Kill everyone and you are a god.,Jean Rostand.
388,Secular schools can never be tolerated because such schools have no religious instruction and a general moral instruction without a religious foundation is built on air; consequently  all character training and religion must be derived from faith ... we need believing people.,Adolf Hitler.
389,I never would have agreed to the formulation of the Central Intelligence Agency back in forty-seven if I had known it would become the American Gestapo.,Harry S Truman
390,Men are not punished for their sins but by them.,Elbert G Hubbard.
391,I like your Christ; I do not like your Christians. Your Christians are so unlike your Christ.,Mohandas Gandhi.
392,Unless Americans come to realize that they are not stronger in the world because they have the bomb but weaker because of their vulnerability to atomic attack they are not likely to conduct their policy in a spirit that furthers the arrival at an understanding.,Albert Einstein.
393,Patriotism is your conviction that this country is superior to all other countries because you were born in it.,George Bernard Shaw.
394,The same people that wrote the bible thought the world was flat.,Unknown - (disputed).
395,If god created us in his image we have certainly returned the compliment.,Voltaire.
396,Stopping terrorism is simple. Just quit screwing around with other people's countries and the terrorists will go home. But the government of the United States wants to go on screwing around with other people's countries refuses to stop indeed views it as Manifest Destiny for the United States Government to persist in screwing around with other people's countries  and views the inconvenience increased tax burden loss of civil liberties and even deaths among the American people as just another cost of doing business.,Michael Rivero.
397,Be happy while you're living for you're a long time dead.,Scottish proverb.
398,Work like you don't need the money. Love like you've never been hurt. Dance like nobody's watching.,Satchel Paige.
399,Git yer guns the liberal folks are gonna let the coloreds vote!,Unknown.
400,Be kind; everyone you meet is fighting a hard battle.,Plato
401,It is forbidden to kill; therefore all murderers are punished unless they kill in large numbers and to the sound of trumpets.,Voltaire.
402,Capitalism is the astounding belief that the most wickedest of men will do the most wickedest of things for the greatest good of everyone.,John Maynard Keynes.
403,I distrust those people who know so well what God wants them to do because I notice it always coincides with their own desires.,Susan B. Anthony.
404,If pigs could vote the man with the slop bucket would be elected swineherd every time no matter how much slaughtering he did on the side.,Orson Scott Card.
405,It is poverty to decide that a child must die so that you may live as you wish.,Mother Teresa.
406,I'm ineffably tired of pro-war ideologues moaning about how the anti-war folk are just 'complaining' without 'offering solutions' to global dilemmas. Peace doesn't need a freekin moral ethical economical or political qualification; war does. Peace doesn't ravage plunder rape or kill; war does. Peace does not need justification war does.,<|OnAir|>.
407,History is an account mostly false of events mostly unimportant which are brought about by rulers mostly knaves  and soldiers mostly fools.,Ambrose Bierce.
408,The people who have really made history are the martyrs.,Aleister Crowley.
409,Laurel and Hardy that's John and Yoko. And we stand a better chance under that guise because all the serious people like Martin Luther King Jr. and Kennedy and Gandhi got shot.,John Lennon.
410,Does anybody know who Lee Harvey Oswald was? . . . And do you know how far away he was? . . . Two hundred and fifty feet. He was two hundred and fifty feet away and shooting at a moving target. He got off three shots with a bolt action rifle in six seconds and got two hits including a head shot. Do you know where those men learned to shoot like that? . . . In the Marines! Outstanding! Those individuals showed what one motivated marine and his rifle can do! And before you ladies leave my island you will be able to do the same thing!,Full Metal Jacket.
411,I love talking about the Kennedy assassination. The reason I do is because I'm fascinated by it. I'm fascinated that our government could lie to us so blatantly so obviously for so long and we do absolutely nothing about it.,Bill Hicks.
412,Men who believe absurdities will commit atrocities.,Voltaire.
413,The nationalist not only does not disapprove of atrocities committed by his own side but he has a remarkable capacity for not even hearing about them.,George Orwell.
414,Our government has kept us in a perpetual state of fear kept us in a continuous stampede of patriotic fervor with the cry of grave national emergency. Always there has been some terrible evil at home or some monstrous foreign power that was going to gobble us up if we did not blindly rally behind it.,General Douglas MacArthur.
415,Knowledge idea belief stands in the way of wisdom.,J. Krishnamurthi.
416,If we'd been born where they were born and taught what they were taught we would believe what they believe.,A church sign in Northern Ireland.
417,My humble friend we know not how to live this life which is so short yet seek one that never ends.,Anatole France.
418,It makes no difference as to the name of the God since love is the real God of all in the world.,Apache.
419,We choose our joys and sorrows long before we experience them.,Kahlil Gibran.
420,Statistically one hundred percent of the shots you don't take don't go in.,Wayne Gretsky.
421,Christianity exceeds all other faiths in its power to deform and finally invert the mental process.,Ida White.
422,God favors no group. Only religions do that.,Bumper Sticker.
423,On the outskirts of every agony sits some observant fellow who points.,Virginia Woolf.
424,The fascist state is the corporate state.,Benito Mussolini.
425,Jehovah was not a moral god. He had all the vices and he lacked all the virtues. He generally carried out all his threats but he never faithfully kept a promise.,Robert G. Ingersoll.
426,Guns make us powerful; butter will only make us fat.,Nazi Hermann Goering.
427,Life is like an overlong drama through which we sit being nagged by the vague memories of having read the reviews.,John Updike.
428,Everyone likes to say Hitler did this and Hitler did that. But the truth is Hitler did very little. He was a world class asshole but the evil actually done from the death camps to World War Two was all done by citizens who were afraid to question if what they were told by their government was the truth or not and who because they did not want to admit to themselves that they were afraid to question the government  refused to see the truth behind the Reichstag Fire refused to see the invasion by Poland was a staged fake and followed Hitler into national disaster.,Michael Rivero.
429,Each nation knowing it has the only true religion and the only sane system of government each despising all the others each an ass and not suspecting it.,Mark Twain.
430,All men are created equal. They are endowed by their Creator with certain unalienable rights among these are life liberty and the pursuit of happiness.,Ho Chi Minh
431,You will kill ten of our men and we will kill one of yours  and in the end it will be you who tire of it.,Ho Chi Minh.
432,I ain't got no quarrel with the Vietcong ... No Vietcong ever called me nigger.,Muhammad Ali
433,I can envision a small cottage somewhere with a lot of writing paper and a dog and a fireplace and maybe enough money to give myself some Irish coffee now and then and entertain my two friends.,Richard Van de Geer
434,If you are required to kill someone today on the promise of a political leader that someone else shall live in peace tomorrow believe me you are not only a double murderer you are a suicide too.,Katherine Anne Porter.
435,I spent thirty-three years in the marines most of my time being a high-class muscle man for big business for Wall Street and the bankers. In short I was a racketeer for capitalism.,General Smedley Butler
436,Over breakfast coffee we read of 40 000 American dead in Vietnam. Instead of vomiting we reach for the toast. Our morning rush through crowded streets is not to cry murder but to hit that trough before somebody else gobbles our share.,Dalton Trumbo.
437,What difference does it make to the dead the orphans and the homeless whether the mad destruction is wrought under the name of totalitarianism or the holy name of liberty and democracy?,Mohandas Gandhi.
438,It is not so much the suffering as the senselessness of it that is unendurable.,Nietzsche.
439,I dream that someday the United States will be on the side of the peasants in some civil war. I dream that we will be the ones who will help the poor overthrow the rich who will talk about land reform and education and health facilities for everyone and that when the Red Cross or Amnesty International comes to count the bodies and take the testimony of women raped that our side won't be the heavies.,Richard Cohen.
440,Throughout the world on any given day a man woman or child is likely to be displaced tortured killed or disappeared at the hands of governments or armed political groups. More often than not the United States shares the blame.,Amnesty International
441,I am tired of fighting our chiefs are killed...it is cold and we have no blankets. The little children are freezing to death...hear me my chiefs I am tired: my heart is sick and sad. From where the sun now stands...I will fight no more forever...,Chief Joseph
442,When great changes occur in history when great principles are involved as a rule the majority are wrong.,Eugene V. Debs.
443,Usually when people are sad they don't do anything. They just cry over their condition. But when they get angry they bring about a change.,Malcolm X.
